ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,rejected,anomaly,anomaly_score
1445353834.52471,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43814,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353836.525646,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43815,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353838.527006,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43816,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353840.527812,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43817,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353842.529041,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43818,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353844.529965,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43819,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353846.531202,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43820,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353848.584296,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43821,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353850.585535,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43822,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353852.586497,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43823,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353842.722836,Clt90p20r3R8B9Vxsf,192.168.89.2,11889,8.8.8.8,53,udp,32842,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353854.587595,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43824,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353856.588627,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43825,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353858.589702,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43826,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353860.590781,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43827,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353862.591959,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43828,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353852.720982,Cld8Z81s9dehQai82i,192.168.89.2,49953,8.8.8.8,53,udp,58859,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353864.592944,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43829,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353866.594034,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43830,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353868.643965,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43831,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353848.650908,CJIIxy2oqADB0jdNwa,192.168.89.2,2056,8.8.8.8,53,udp,2,ntp1.dlink.com,1,C_INTERNET,1,A,,,False,False,True,False,0,False,True,0.17029339216167982
1445353858.649666,CJIIxy2oqADB0jdNwa,192.168.89.2,2056,8.8.8.8,53,udp,4,ntp1.dlink.com,1,C_INTERNET,1,A,,,False,False,True,False,0,False,True,0.17029339216167982
1445353853.650558,CJIIxy2oqADB0jdNwa,192.168.89.2,2056,8.8.8.8,53,udp,3,ntp1.dlink.com,1,C_INTERNET,1,A,,,False,False,True,False,0,False,True,0.17029339216167982
1445353870.645066,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43832,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353872.646102,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43833,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353862.719123,ChdEVx2lZqlUbrLpL,192.168.89.2,18065,8.8.8.8,53,udp,37922,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353874.647199,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43834,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353876.648297,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43835,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353878.649368,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43836,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353880.650524,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43837,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353882.651523,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43838,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353872.717349,Cy1c4g1TnKgV6DJHr3,192.168.89.2,45449,8.8.8.8,53,udp,52570,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353884.652756,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43839,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353886.653684,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43840,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353888.726279,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43841,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353890.727858,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43842,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353882.715357,CDU3ri1GNQ6nKycsbi,192.168.89.2,53425,8.8.8.8,53,udp,4705,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353892.729121,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43843,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353894.730021,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43844,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353896.73125,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43845,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353898.732175,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43846,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353900.733409,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43847,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353892.713487,C3sF8l42Nzd1KZxeRj,192.168.89.2,1506,8.8.8.8,53,udp,51409,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353902.734332,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43848,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353904.735703,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43849,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353906.736516,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43850,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353908.785588,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43851,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353910.786669,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43852,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353902.711641,CBl4KsTnV8lHdcaTf,192.168.89.2,56568,8.8.8.8,53,udp,28823,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353912.787726,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43853,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353914.78882,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43854,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353916.789915,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43855,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353918.791085,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43856,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353920.792061,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43857,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353912.709771,CWGowB3y6ibBRTXoRd,192.168.89.2,58324,8.8.8.8,53,udp,41256,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
1445353922.79314,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43858,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353924.794209,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43859,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353926.795301,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43860,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353928.847399,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43861,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353930.848461,CKzsob4voTjPleq1ej,192.168.88.61,949,192.168.88.1,53,udp,43862,time.nist.gov,1,C_INTERNET,1,A,5.0,REFUSED,False,False,True,False,0,True,False,-0.14658403086830785
1445353922.707875,CTC59I1Iizo5rCBkyb,192.168.89.2,37775,8.8.8.8,53,udp,44152,localhost,1,C_INTERNET,1,A,,,False,False,False,False,0,False,False,-0.016627533107609893
